system:index,has_data,has_time,mean_LST,timestamp,.geo
2000_10_14,37.61313144056542,9.714816E11,37.61313144056542,9.714816E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_15,39.896015850804126,9.71568E11,39.896015850804126,9.71568E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_16,40.83396335350465,9.716544E11,40.83396335350465,9.716544E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_17,36.86879466922744,9.717408E11,36.86879466922744,9.717408E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_18,40.189593531468574,9.718272E11,40.189593531468574,9.718272E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_21,35.97040000000005,9.720864E11,35.97040000000005,9.720864E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_22,38.24680651148085,9.721728E11,38.24680651148085,9.721728E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_23,37.037471325972795,9.722592E11,37.037471325972795,9.722592E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_24,37.06003231441329,9.723456E11,37.06003231441329,9.723456E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_25,42.82726465993468,9.72432E11,42.82726465993468,9.72432E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_30,38.29257967677725,9.72864E11,38.29257967677725,9.72864E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01,42.42189134844469,9.730368E11,42.42189134844469,9.730368E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_05,42.59411597760715,9.733824E11,42.59411597760715,9.733824E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_06,40.23128958119528,9.734688E11,40.23128958119528,9.734688E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_07,40.579315142919455,9.735552E11,40.579315142919455,9.735552E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_12,43.333396330118674,9.739872E11,43.333396330118674,9.739872E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_14,43.28787634603908,9.7416E11,43.28787634603908,9.7416E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_15,33.08959261489066,9.742464E11,33.08959261489066,9.742464E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_16,40.111388666896204,9.743328E11,40.111388666896204,9.743328E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_17,39.93000000000001,9.744192E11,39.93000000000001,9.744192E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_19,38.08021856043463,9.74592E11,38.08021856043463,9.74592E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_21,41.76656408808584,9.747648E11,41.76656408808584,9.747648E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_22,39.688706286306314,9.748512E11,39.688706286306314,9.748512E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_23,41.146332461619394,9.749376E11,41.146332461619394,9.749376E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_24,42.58185613610592,9.75024E11,42.58185613610592,9.75024E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_29,38.0566838064223,9.75456E11,38.0566838064223,9.75456E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_30,44.47466685829994,9.755424E11,44.47466685829994,9.755424E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_01,41.81051349276793,9.756288E11,41.81051349276793,9.756288E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_02,39.58588510852024,9.757152E11,39.58588510852024,9.757152E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_03,42.689210555410014,9.758016E11,42.689210555410014,9.758016E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
